reporting_organisation,donor,project_status,governorate,district,sub_district,community,neighbourhood,camp_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,neighbourhood_pcode,admin5pcode,location_other,village_camps,latitude_y,longitude_x,cluster,response_type,families,female_headed_hh,beneficiaries,men_18_60,women_18_60,boys_18,girls_18,elderly_males_60,elderly_females_60,idps,host_communities,returnees,pwds,previously_assisted,newly_assisted,conditionality,restrictions,cash_delivery_mechanism,voucher_delivery_mechanism,currency,transfer_value,transfer_frequency,num_payments,fx_rate,total_value_per_hh,total_usd,targeting_criteria,start_date,end_date,comments,contact_person,position,email,phone,month_of_activity,abbreviation,implementing_partner,activity,transfer_value_usd
Bonyan Organization (BO),Concern worldwide,Completed,Aleppo,Afrin,Jandairis,Jalma (Jandairis),NA,NA,SY02,SY0203,SY020302,C1424,NA,NA,NA,village,36.357144,36.770047,Multipurpose - One time,Earthquake,337,52,1791,332,368,532,482,37,40,180,157,0,218,No,yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,NA,150,50550,Other,2023-05-02,2023-05-05,NA,Ahmad Kattan,Program Manager,akattan@bonyan.ngo,5356811300,31-05-2023,BONYAN,Bonyan Organization (BO),Multipurpose Cash Response,150
Bonyan Organization (BO),Concern worldwide,Completed,Aleppo,Afrin,Jandairis,Bayada - Jendris,NA,NA,SY02,SY0203,SY020302,C1434,NA,NA,NA,village,36.375652,36.663053,Multipurpose - One time,Earthquake,99,13,470,90,102,135,105,19,19,48,51,0,172,No,yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,151,One-off,2,NA,302,29898,Other,2023-05-02,2023-05-05,NA,Ahmad Kattan,Program Manager,akattan@bonyan.ngo,5356811300,31-05-2023,BONYAN,Bonyan Organization (BO),Multipurpose Cash Response,151
Bonyan Organization (BO),Concern worldwide,Completed,Aleppo,Afrin,Jandairis,Sheikh Abel Rahman,NA,NA,SY02,SY0203,SY020302,C1419,NA,NA,NA,village,36.431499,36.763546,Multipurpose - One time,Earthquake,61,15,279,43,69,70,75,11,11,47,14,0,89,No,yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,152,One-off,3,NA,456,27816,Other,2023-05-02,2023-05-05,NA,Ahmad Kattan,Program Manager,akattan@bonyan.ngo,5356811300,31-05-2023,BONYAN,Bonyan Organization (BO),Multipurpose Cash Response,152
Bonyan Organization (BO),Concern worldwide,Completed,Aleppo,Afrin,Afrin,Eskan,NA,NA,SY02,SY0203,SY020300,C1352,NA,NA,NA,village,36.353492,36.807785,Multipurpose - One time,Earthquake,78,14,411,83,98,124,106,10,14,38,40,0,127,No,yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,NA,150,11700,Other,2023-05-02,2023-05-05,NA,Ahmad Kattan,Program Manager,akattan@bonyan.ngo,5356811300,31-05-2023,BONYAN,Bonyan Organization (BO),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Sheikh Abel Rahman,NA,NA,SY02,SY0203,SY020302,C1419,NA,NA,NA,NA,36.431499,36.763546,Multipurpose - One time,Earthquake,83,1,418,95,109,99,115,22,NA,15,403,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,12450,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Harim,Armanaz,Milis,NA,NA,SY07,SY0703,SY070305,C4184,NA,NA,NA,NA,36.005116,36.487717,Multipurpose - One time,Earthquake,325,0,1606,402,426,386,392,58,NA,35,1571,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,48750,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Abel,NA,NA,SY02,SY0203,SY020301,C1397,NA,NA,NA,NA,36.69364,36.846184,Multipurpose - One time,Earthquake,6,0,26,7,6,10,3,1,NA,6,20,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,900,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Ali Elatrash - Olikar,NA,NA,SY02,SY0203,SY020301,C1408,NA,NA,NA,NA,36.790231,36.783877,Multipurpose - One time,Earthquake,3,0,8,2,3,0,3,0,NA,3,5,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,450,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Ali Jaru,NA,NA,SY02,SY0203,SY020301,C8286,NA,NA,NA,NA,36.743163,36.871431,Multipurpose - One time,Earthquake,4,0,21,4,4,4,9,0,NA,4,17,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,600,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Ashani,NA,NA,SY02,SY0203,SY020301,C1411,NA,NA,NA,NA,36.695954,36.784258,Multipurpose - One time,Earthquake,1,0,3,0,1,1,1,0,NA,1,2,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
